genotype	treatment	timepoint	replicate	total	hue	count
Col-0	CPB	17	1	2056860	38	8077
Col-0	CPB	17	1	2056860	39	6139
Col-0	CPB	17	1	2056860	40	4124
Col-0	CPB	17	1	2056860	41	7930
Col-0	CPB	17	1	2056860	42	25279
Col-0	CPB	17	1	2056860	43	42524
Col-0	CPB	17	1	2056860	44	47618
Col-0	CPB	17	1	2056860	45	68465
Col-0	CPB	17	1	2056860	46	88159
Col-0	CPB	17	1	2056860	47	111372
Col-0	CPB	17	1	2056860	48	122077
Col-0	CPB	17	1	2056860	49	146915
Col-0	CPB	17	1	2056860	50	165043
Col-0	CPB	17	1	2056860	51	188134
Col-0	CPB	17	1	2056860	52	201920
Col-0	CPB	17	1	2056860	53	184393
Col-0	CPB	17	1	2056860	54	119113
Col-0	CPB	17	1	2056860	55	121149
Col-0	CPB	17	1	2056860	56	73881
Col-0	CPB	17	1	2056860	57	48866
Col-0	CPB	17	1	2056860	58	36357
Col-0	CPB	17	1	2056860	59	22166
Col-0	CPB	17	1	2056860	60	8580
Col-0	CPB	17	1	2056860	61	11808
Col-0	CPB	17	1	2056860	62	6303
Col-0	CPB	17	1	2056860	63	3843
Col-0	CPB	17	1	2056860	64	2849
Col-0	CPB	17	1	2056860	65	2433
Col-0	CPB	17	1	2056860	66	1141
Col-0	CPB	17	1	2056860	67	709
Col-0	CPB	17	1	2056860	68	830
Col-0	CPB	17	1	2056860	69	376
Col-0	CPB	17	1	2056860	70	184
Col-0	CPB	17	1	2056860	71	149
Col-0	CPB	17	1	2056860	72	124
Col-0	CPB	17	1	2056860	73	118
Col-0	CPB	17	1	2056860	74	95
Col-0	CPB	17	1	2056860	75	87
Col-0	CPB	17	1	2056860	76	89
Col-0	CPB	17	1	2056860	77	94
Col-0	CPB	17	1	2056860	78	79
Col-0	CPB	17	1	2056860	79	14
Col-0	CPB	17	1	2056860	80	80
Col-0	CPB	17	1	2056860	81	59
Col-0	CPB	17	1	2056860	82	53
Col-0	CPB	17	1	2056860	83	70
Col-0	CPB	17	1	2056860	84	62
Col-0	CPB	17	1	2056860	85	49
Col-0	CPB	17	1	2056860	86	35
Col-0	CPB	17	1	2056860	87	63
Col-0	CPB	17	1	2056860	88	58
Col-0	CPB	17	1	2056860	89	82
